parent_cluster,parent_name,sub_cluster,sub_name,sub_description,movie_count,avg_confidence
7,Musical Romances and Comedies,2,Asian-Driven Romantic Dramas,"Characterized by their focus on Asian culture, relationships, and family dynamics, setting these films apart from more generic musical romances and comedies.",19,0.985
7,Musical Romances and Comedies,3,Whimsical European Romps,"Characterized by an emphasis on fast-paced, situational humor and unconventional storytelling set against a backdrop of European settings.",96,0.975
8,Cyberpunk Odyssey Cluster,0,Satirical Sci-Fi Romps,"Characterized by an emphasis on comedic storytelling and satire, distinguishing it from the darker, more serious Cyberpunk Odyssey Cluster.",19,1.0
8,Cyberpunk Odyssey Cluster,1,Comedic Cyberpunk Revival,"Characterized by an emphasis on humor and lightheartedness, setting it apart from the darker, more serious tone of the parent rail.",7,0.922
8,Cyberpunk Odyssey Cluster,2,Satirical Sci-Fi Comedies,"Characterized by their blend of humor, satire, and science fiction elements, setting them apart from the more serious and action-oriented Cyberpunk Odyssey Cluster.",10,1.0
8,Cyberpunk Odyssey Cluster,3,Future Fantastica,"Characterized by an emphasis on high-end visual effects and fantastical elements, setting it apart from the Cyberpunk Odyssey Cluster's focus on gritty realism and technological advancement.",11,0.907
8,Cyberpunk Odyssey Cluster,4,High-Tech Fantasy Odyssey,"Characterized by an emphasis on high-end visual effects and fantastical elements, setting it apart from its cyberpunk-focused parent cluster.",33,0.974
8,Cyberpunk Odyssey Cluster,5,Dark Cyberpunk Odyssey,"Characterized by an emphasis on psychological horror and somber atmosphere, distinguishing it from the parent rail's focus on sci-fi adventure and action.",9,0.922
8,Cyberpunk Odyssey Cluster,6,Neo-Noir Action Odyssey,"Characterized by high-stakes action and suspense, with a focus on survival and fast-paced thrills.",19,0.854
8,Cyberpunk Odyssey Cluster,7,Neon Dreamscape Cluster,"Characterized by an emphasis on immersive, visually-driven narratives and a focus on sci-fi adventure and exploration.",29,1.0
8,Cyberpunk Odyssey Cluster,8,Dark Neo-Noir Subcluster,"Characterized by an emphasis on horror, tension, and survival over traditional cyberpunk themes of adventure and justice.",7,0.978
8,Cyberpunk Odyssey Cluster,9,Satirical Cyberpunk Revival,"Characterized by its use of humor, satire, and nuanced explorations of American identity, this sub-cluster offers a more grounded and irreverent take on the cyberpunk genre.",6,0.889
8,Cyberpunk Odyssey Cluster,10,Dark Cyberpunk Reckoning,"Characterized by an intensified focus on horror, survival, and suspense, with a darker tone and more explicit themes.",16,0.995
8,Cyberpunk Odyssey Cluster,11,Neon Uprising Subcluster,"Characterized by an emphasis on gritty social commentary and rebellious protagonists, distinguishing it from the Cyberpunk Odyssey Cluster's focus on high-tech spectacle and futuristic world-building.",48,1.0
8,Cyberpunk Odyssey Cluster,12,The Melancholic Vanguard,Character-driven dramas that prioritize introspection and emotional depth over fast-paced action and sci-fi adventure.,15,1.0
8,Cyberpunk Odyssey Cluster,13,Neon Dreamscape Cluster,"Characterized by an emphasis on high-tech adventure and heroic protagonists, with a focus on futuristic settings and action-driven narratives.",19,1.0
8,Cyberpunk Odyssey Cluster,14,Neon Dreamscape Cluster,"Characterized by an emphasis on high-energy visuals, thrilling adventures, and charming protagonists, distinct from the darker, more cerebral Cyberpunk Odyssey Cluster.",12,0.988
8,Cyberpunk Odyssey Cluster,15,Neuro-Dystopian Realism,"Character-driven narratives exploring complex, introspective themes set in a gritty, futuristic world.",25,0.985
8,Cyberpunk Odyssey Cluster,16,Neuro-Dystopian Thrillers,"Character-driven, psychologically complex films that explore the darker aspects of human nature set against a backdrop of futuristic Europe.",20,1.0
8,Cyberpunk Odyssey Cluster,17,Neon Dreamscape Cluster,"Characterized by an emphasis on high-end visual effects, action-packed adventures, and a focus on charismatic protagonists.",23,0.993
8,Cyberpunk Odyssey Cluster,18,Neon Deception Cluster,"Characterized by an emphasis on psychological suspense and futuristic thrills, with a focus on deception and unraveling trust.",28,0.999
8,Cyberpunk Odyssey Cluster,19,California Cyberpunk,"Characterized by a strong focus on Los Angeles and California settings, elevating the genre's typical sci-fi and action elements.",8,1.0
8,Cyberpunk Odyssey Cluster,20,Neuro-Philosophical Thrillers,"Characterized by intense psychological suspense, philosophical exploration, and intellectual stimulation, this sub-cluster delves deeper into the human condition within a cyberpunk world.",17,0.999
8,Cyberpunk Odyssey Cluster,21,Horror-Infused Cyberpunk,"Characterized by an intense focus on psychological horror and unsettling atmosphere, distinct from the parent rail's emphasis on action and adventure.",5,1.0
8,Cyberpunk Odyssey Cluster,22,Psychological Cyberpunk Thrillers,"Characterized by their intense psychological horror and suspense elements, setting them apart from other cyberpunk films that focus more on action and adventure.",15,1.0
8,Cyberpunk Odyssey Cluster,23,High-Tech Rebellion Cluster,"Characterized by an emphasis on fast-paced action, heavy gunplay, and technological advancements, this sub-cluster diverges from the parent Cyberpunk Odyssey Cluster in its focus on high-stakes rebellion and resistance.",14,1.0
8,Cyberpunk Odyssey Cluster,24,Neon Anarchy Subcluster,"Characterized by an emphasis on intense action, moral complexity, and a focus on human relationships amidst a backdrop of high-tech chaos.",7,1.0
8,Cyberpunk Odyssey Cluster,25,Neon Dreamscape Cluster,"Characterized by an emphasis on high-stakes adventure, sci-fi thrills, and action-packed narratives set against a futuristic backdrop.",18,0.994
8,Cyberpunk Odyssey Cluster,26,Neon Dreamscape Cluster,"Characterized by heightened action, suspenseful atmosphere, and a focus on adventure and survival over moral exploration and character-driven narratives.",17,0.997
8,Cyberpunk Odyssey Cluster,27,Neuro- Noir Subcluster,"Characterized by a focus on psychological suspense and mystery, with a darker tone and emphasis on internal struggles over action-oriented plot twists.",15,0.991
8,Cyberpunk Odyssey Cluster,28,Gritty Action Odyssey,"Characterized by an emphasis on high-octane action and adventure, with a focus on thrilling sequences and American settings.",5,0.977
8,Cyberpunk Odyssey Cluster,29,Psychological Cyberpunk Subversion,"Characterized by an emphasis on eerie atmosphere and psychological horror, setting it apart from the more action-oriented Cyberpunk Odyssey Cluster.",7,1.0
8,Cyberpunk Odyssey Cluster,30,Neuro-Horror Subcluster,"Characterized by an emphasis on psychological horror, eerie atmosphere, and unsettling themes, setting it apart from the Cyberpunk Odyssey Cluster's focus on futuristic thrills and technological advancements.",16,0.995
8,Cyberpunk Odyssey Cluster,31,Dystopian Realism Cluster,"Characterized by a heightened focus on societal decline, moral conflict, and somber atmosphere, this sub-cluster diverges from the parent Cyberpunk Odyssey Cluster in its emphasis on gritty, realistic portrayals of dystopian futures.",20,1.0
8,Cyberpunk Odyssey Cluster,32,Neon Existentialism Cluster,"Characterized by a heightened focus on philosophical and intellectual exploration, cultural critique, and introspective narratives.",8,1.0
8,Cyberpunk Odyssey Cluster,33,High-Octane Thrill Ride,"Characterized by an emphasis on fast-paced action and thrilling sequences, distinct from the Cyberpunk Odyssey Cluster's focus on atmospheric tension and narrative complexity.",13,1.0
8,Cyberpunk Odyssey Cluster,34,Neon Rebellion Cluster,"Characterized by an emphasis on high-stakes action, technological innovation, and a focus on overcoming adversity, setting it apart from the parent Cyberpunk Odyssey Cluster's exploration of themes such as societal decline and existential crises.",17,1.0
8,Cyberpunk Odyssey Cluster,35,Neo-Noir Satire Cluster,"Characterized by a focus on dark humor and social commentary, distinct from the Cyberpunk Odyssey Cluster's emphasis on action and futuristic settings.",9,1.0
8,Cyberpunk Odyssey Cluster,36,Dark Neo-Noir Odyssey,"Characterized by its emphasis on somber and eerie tone, with a focus on science thrillers and horror elements.",6,1.0
8,Cyberpunk Odyssey Cluster,37,California Cyberpunk Thrillride,Characterized by a focus on high-stakes action and technology-driven narratives set against the backdrop of Los Angeles.,9,1.0
8,Cyberpunk Odyssey Cluster,38,Neo-Noir Renaissance,"Characterized by a focus on gritty, crime-ridden narratives with a strong emphasis on psychological tension and atmospheric visuals.",6,1.0
8,Cyberpunk Odyssey Cluster,39,High-Tech Action Odyssey,"Characterized by prominent action and adventure elements, with a focus on high-tech spectacle over dystopian or sci-fi themes.",14,1.0
8,Cyberpunk Odyssey Cluster,40,Psychological Cyberpunk,"Characterized by an emphasis on introspection, philosophical exploration, and psychological suspense over action-packed thrills.",15,1.0
8,Cyberpunk Odyssey Cluster,41,Psychological Cyberpunk Subcluster,"Characterized by an emphasis on introspection, philosophical exploration, and complex moralities, this subcluster diverges from the parent rail's focus on high-stakes action and technological spectacle.",9,1.0
8,Cyberpunk Odyssey Cluster,42,Neon Dystopian Thrillers,"Characterized by their intense, high-stakes action sequences and exploration of societal decline, this sub-cluster diverges from the parent Cyberpunk Odyssey Cluster through its emphasis on relentless chases and futuristic thrillers.",5,1.0
8,Cyberpunk Odyssey Cluster,43,Horror-Infused Cyberpunk,"Characterized by an emphasis on psychological horror and a somber, eerie tone, distinct from the parent rail's focus on sci-fi adventure and futuristic thrills.",11,0.955
8,Cyberpunk Odyssey Cluster,44,Psychological Cyberpunk Nightmare,"Characterized by an intense focus on psychological horror, moral exploration, and a somber tone, setting it apart from the parent rail's emphasis on action and adventure.",6,1.0
8,Cyberpunk Odyssey Cluster,45,Neuro-Horror Subcluster,"Characterized by an intensified focus on psychological horror and unease, setting it apart from the Cyberpunk Odyssey Cluster's emphasis on high-stakes action and technological exploration.",16,0.999
8,Cyberpunk Odyssey Cluster,46,Neon Anarchist Uprising,"Characterized by an increased emphasis on social commentary and rebellion against oppressive systems, setting it apart from the broader Cyberpunk Odyssey Cluster.",9,1.0
8,Cyberpunk Odyssey Cluster,47,Neon Anarchy Subcluster,"Characterized by an emphasis on gritty, high-octane action and crime thrillers, with a focus on dystopian futures and social upheaval.",13,1.0
8,Cyberpunk Odyssey Cluster,48,Southern Gothic Cyberpunk,"Characterized by its blend of dark humor, rural settings, and a focus on the grotesque and unsettling, this sub-cluster diverges from the parent rail's emphasis on high-tech thrills and sci-fi adventure.",11,1.0
8,Cyberpunk Odyssey Cluster,49,Dark Cyberpunk Requiem,"Characterized by an emphasis on psychological horror and supernatural elements, setting it apart from its cyberpunk counterparts with a focus on eerie tone and unsettling atmosphere.",10,1.0
9,Epic Quests of Old England,0,Medieval Action Sagas,"Characterized by their blend of historical action, fantasy elements, and heroic narratives set against a backdrop of medieval England.",27,0.818
9,Epic Quests of Old England,1,French Renaissance Revival,"Characterized by a strong emphasis on European settings, aristocratic themes, and adventure-driven narratives.",8,0.421
9,Epic Quests of Old England,2,American Odyssey Subcluster,"Characterized by a focus on cultural exploration and survival, distinct from the traditional epic quests of Old England.",25,0.788
10,Whimsical Fantasy Comedies,0,Fantastical Family Romps,"Characterized by an emphasis on wholesome, family-friendly humor and narrative, with a focus on childhood bonds and adventures.",22,1.0
10,Whimsical Fantasy Comedies,1,Fantastical Romps with Heroes,"Character-driven comedies that emphasize brave protagonists and self-discovery, often set in medieval fantasy realms.",28,1.0
10,Whimsical Fantasy Comedies,2,East Asian Sci-Fi Satire,"Characterized by its blend of futuristic and satirical elements, often incorporating Asian culture and themes into a comedic narrative.",18,0.953
10,Whimsical Fantasy Comedies,3,Future-Fantasy Comedies,"Characterized by a strong emphasis on science fiction elements, futuristic settings, and technological advancements, setting it apart from the parent rail's focus on more traditional fantasy and comedic elements.",7,0.989
10,Whimsical Fantasy Comedies,4,Sci-Fi Whimsy Comedies,"Characterized by a strong emphasis on science fiction elements and futuristic settings, setting this sub-cluster apart from the parent rail of whimsical fantasy comedies.",9,1.0
10,Whimsical Fantasy Comedies,5,Fantastical Romps with Royalty,"This sub-cluster emphasizes fantastical realms, comedic takes on royal hierarchies, and stories of self-discovery amidst whimsical fantasy comedies.",11,1.0
10,Whimsical Fantasy Comedies,6,Dark Whimsy Subversions,"This sub-cluster combines elements of dark fantasy and satire with traditional whimsical comedy, often subverting audience expectations and presenting a more cynical take on the parent rail's lighthearted tone.",6,0.916
10,Whimsical Fantasy Comedies,7,Fantastical Moodscapes,"This sub-cluster stands out from its parent rail by emphasizing a focus on atmosphere and mood, often incorporating darker and more eerie elements to create a unique blend of whimsy and fantasy.",15,0.948
10,Whimsical Fantasy Comedies,8,Fantastical Romantic Escapades,"Characterized by an emphasis on romantic drama and whimsical fantasy elements, setting it apart from its parent rail of Whimsical Fantasy Comedies.",8,0.89
10,Whimsical Fantasy Comedies,9,Surrealistic Dreamscapes,"Characterized by an emphasis on intellectual exploration, philosophical inquiry, and unconventional narrative structures, setting it apart from the parent rail's more lighthearted and adventurous tone.",9,0.914
10,Whimsical Fantasy Comedies,10,Dark Whimsy Comedies,"Characterized by a focus on psychological complexity, dark humor, and unsettling themes, setting it apart from its whimsical fantasy comedy parent rail.",23,0.936
10,Whimsical Fantasy Comedies,11,Sci-Fi Whimsy Romps,"Characterized by an emphasis on science fiction elements, animated CGI, and superhero triumphs, setting this sub-cluster apart from the parent rail's focus on more traditional fantasy comedies.",24,0.999
10,Whimsical Fantasy Comedies,12,Fantastical Family Romps,"Characterized by an emphasis on heartwarming family narratives, rural settings, and joyful emotional expression, setting it apart from the parent rail's focus on adventure and comedy.",8,0.987
10,Whimsical Fantasy Comedies,13,Animated Buddy Romps,"Character-driven comedies featuring animated CGI and buddy relationships, often with a focus on situational humor and American settings.",29,1.0
10,Whimsical Fantasy Comedies,14,East Asian Whimsy Comedies,"Characterized by an emphasis on Asian culture, mythology, and setting, with a focus on lighthearted adventure and humor.",16,0.995
10,Whimsical Fantasy Comedies,15,Fantasy with Dark Twists,"This sub-cluster combines whimsical fantasy elements with darker, more ominous themes and features, setting it apart from its parent rail through the presence of horror, sci-fi, and action elements.",6,1.0
10,Whimsical Fantasy Comedies,16,East Asian Whimsy Romps,"Characterized by its emphasis on romance, sports settings, and raw humor, setting East Asia, this sub-cluster stands out from the parent rail with its unique blend of cultural specificity and comedic tone.",15,1.0
10,Whimsical Fantasy Comedies,17,Fantasy Family Farce,"Characterized by an emphasis on wholesome family dynamics and comedic storytelling, distinct from Whimsical Fantasy Comedies' focus on fantastical realms and action-adventure elements.",30,1.0
10,Whimsical Fantasy Comedies,18,British Buddy Romps,"Character-driven comedies with talking animals, set in rural UK, and featuring joyful emotional expression.",16,1.0
10,Whimsical Fantasy Comedies,19,Fantastical Romps & Escapades,"Characterized by an emphasis on joyful emotional expression, whimsical creatures and spells, and a focus on feel-good narratives.",24,1.0
10,Whimsical Fantasy Comedies,20,California Dream Comedies,"Characterized by their emphasis on music, art, and metropolitan settings, distinguishing them from Whimsical Fantasy Comedies with a stronger focus on fantasy worlds and adventure.",7,1.0
10,Whimsical Fantasy Comedies,21,Ethereal Coming-of-Age Comedies,"Character-driven, whimsical tales that balance fantastical elements with relatable coming-of-age themes.",6,1.0
10,Whimsical Fantasy Comedies,22,Heartwarming Americana Fantasies,"Characterized by an emphasis on sentimental family narratives, set against a backdrop of wholesome American settings.",20,0.966
10,Whimsical Fantasy Comedies,23,Animated Escapades,"Characterized by prominent use of CGI animation and a focus on lighthearted, comedic storytelling.",7,1.0
10,Whimsical Fantasy Comedies,24,Fantasy Comedies with Heart,"Character-driven stories that balance whimsy and emotional depth, often featuring relatable life changes and uplifting endings.",5,1.0
11,Thrill Ride Horror Adventures,0,Psychological Pursuit Thrills,"Character-driven, suspenseful thrillers that emphasize psychological horror and intense friendships over action-packed chases.",10,0.62
11,Thrill Ride Horror Adventures,1,High-Octane Thriller Fusion,"Characterized by elevated action, adventure, and sci-fi elements, with suppressed horror and thriller genres.",23,0.821
13,War and Human Struggle,0,European Wartime Odyssey,"Characterized by a strong focus on historical context, group dynamics, and moral struggles set against the backdrop of European wartime experiences.",93,0.961
13,War and Human Struggle,1,Family Torn Apart,Characterized by an intense focus on family dynamics and emotional struggles amidst war and conflict.,10,0.903
13,War and Human Struggle,2,Romantic Realities of War,"This sub-cluster explores the intersection of romance and human struggle during wartime, often focusing on personal relationships amidst conflict.",24,0.843
13,War and Human Struggle,3,Comedic Resistance,"This sub-cluster highlights films that use humor to cope with and resist the struggles of war, offering a lighter take on the parent rail's darker themes.",12,0.843
13,War and Human Struggle,4,The Struggle for Identity,"This sub-cluster distinguishes itself from the parent rail by focusing on the internal conflicts and personal struggles of individuals, particularly those set against a backdrop of war or social upheaval in Asia.",18,0.895
13,War and Human Struggle,5,Satirical Reckoning,"Characterized by its use of dark humor and satire to critique societal issues, politics, and cultural norms.",6,0.953
13,War and Human Struggle,6,Female Fury Films,"Characterized by intense female-centric narratives and action-packed plots, often blending genres like thriller and adventure.",8,1.0
